"행정구역(시군구)별","연령별","항목","단위","2022.02 월",
"서울특별시","49세","남자인구수[명]","명","79837",
"서울특별시","49세","여자인구수[명]","명","81126",
"서울특별시","50세","총인구수[명]","명","168074",
"서울특별시","50세","남자인구수[명]","명","83849",
"서울특별시","50세","여자인구수[명]","명","84225",
"서울특별시","51세","총인구수[명]","명","167063",
"서울특별시","51세","남자인구수[명]","명","82539",
"서울특별시","51세","여자인구수[명]","명","84524",
"서울특별시","52세","총인구수[명]","명","161020",
"서울특별시","52세","남자인구수[명]","명","79731",
"서울특별시","52세","여자인구수[명]","명","81289",
"서울특별시","53세","총인구수[명]","명","159720",
"서울특별시","53세","남자인구수[명]","명","78460",
"서울특별시","53세","여자인구수[명]","명","81260",
"서울특별시","54세","총인구수[명]","명","146473",
"서울특별시","54세","남자인구수[명]","명","70957",
"서울특별시","54세","여자인구수[명]","명","75516",
"서울특별시","55세","총인구수[명]","명","139653",
"서울특별시","55세","남자인구수[명]","명","69943",
"서울특별시","55세","여자인구수[명]","명","69710",
"서울특별시","56세","총인구수[명]","명","141636",
"서울특별시","56세","남자인구수[명]","명","69367",
"서울특별시","56세","여자인구수[명]","명","72269",
"서울특별시","57세","총인구수[명]","명","143882",
"서울특별시","57세","남자인구수[명]","명","70444",
"서울특별시","57세","여자인구수[명]","명","73438",
"서울특별시","58세","총인구수[명]","명","134071",
"서울특별시","58세","남자인구수[명]","명","65897",
"서울특별시","58세","여자인구수[명]","명","68174",
"서울특별시","59세","총인구수[명]","명","144261",
"서울특별시","59세","남자인구수[명]","명","70849",
"서울특별시","59세","여자인구수[명]","명","73412",
"서울특별시","60세","총인구수[명]","명","150002",
"서울특별시","60세","남자인구수[명]","명","72494",
"서울특별시","60세","여자인구수[명]","명","77508",
"서울특별시","61세","총인구수[명]","명","156965",
"서울특별시","61세","남자인구수[명]","명","74515",
"서울특별시","61세","여자인구수[명]","명","82450",
"서울특별시","62세","총인구수[명]","명","147977",
"서울특별시","62세","남자인구수[명]","명","69997",
"서울특별시","62세","여자인구수[명]","명","77980",
"서울특별시","63세","총인구수[명]","명","136710",
"서울특별시","63세","남자인구수[명]","명","65190",
"서울특별시","63세","여자인구수[명]","명","71520",
"서울특별시","64세","총인구수[명]","명","134317",
"서울특별시","64세","남자인구수[명]","명","63808",
"서울특별시","64세","여자인구수[명]","명","70509",
"서울특별시","65세","총인구수[명]","명","124118",
"서울특별시","65세","남자인구수[명]","명","58142",
"서울특별시","65세","여자인구수[명]","명","65976",
"서울특별시","66세","총인구수[명]","명","127193",
"서울특별시","66세","남자인구수[명]","명","59315",
"서울특별시","66세","여자인구수[명]","명","67878",
"서울특별시","67세","총인구수[명]","명","116306",
"서울특별시","67세","남자인구수[명]","명","54473",
"서울특별시","67세","여자인구수[명]","명","61833",
"서울특별시","68세","총인구수[명]","명","96634",
"서울특별시","68세","남자인구수[명]","명","44961",
"서울특별시","68세","여자인구수[명]","명","51673",
"서울특별시","69세","총인구수[명]","명","103004",
"서울특별시","69세","남자인구수[명]","명","48125",
"서울특별시","69세","여자인구수[명]","명","54879",
"서울특별시","70세","총인구수[명]","명","77193",
"서울특별시","70세","남자인구수[명]","명","35980",
"서울특별시","70세","여자인구수[명]","명","41213",
"서울특별시","71세","총인구수[명]","명","79446",
"서울특별시","71세","남자인구수[명]","명","36925",
"서울특별시","71세","여자인구수[명]","명","42521",
"서울특별시","72세","총인구수[명]","명","81673",
"서울특별시","72세","남자인구수[명]","명","37384",
"서울특별시","72세","여자인구수[명]","명","44289",
"서울특별시","73세","총인구수[명]","명","79439",
"서울특별시","73세","남자인구수[명]","명","36477",
"서울특별시","73세","여자인구수[명]","명","42962",
"서울특별시","74세","총인구수[명]","명","79156",
"서울특별시","74세","남자인구수[명]","명","35769",
"서울특별시","74세","여자인구수[명]","명","43387",
"서울특별시","75세","총인구수[명]","명","72982",
"서울특별시","75세","남자인구수[명]","명","32931",
"서울특별시","75세","여자인구수[명]","명","40051",
"서울특별시","76세","총인구수[명]","명","55293",
"서울특별시","76세","남자인구수[명]","명","24919",
"서울특별시","76세","여자인구수[명]","명","30374",
"서울특별시","77세","총인구수[명]","명","57295",
"서울특별시","77세","남자인구수[명]","명","25674",
"서울특별시","77세","여자인구수[명]","명","31621",
"서울특별시","78세","총인구수[명]","명","53282",
"서울특별시","78세","남자인구수[명]","명","23314",
"서울특별시","78세","여자인구수[명]","명","29968",
"서울특별시","79세","총인구수[명]","명","63902",
"서울특별시","79세","남자인구수[명]","명","28823",
"서울특별시","79세","여자인구수[명]","명","35079",
"서울특별시","80세","총인구수[명]","명","53904",
"서울특별시","80세","남자인구수[명]","명","23695",
"서울특별시","80세","여자인구수[명]","명","30209",
"서울특별시","81세","총인구수[명]","명","42906",
"서울특별시","81세","남자인구수[명]","명","18443",
"서울특별시","81세","여자인구수[명]","명","24463",
"서울특별시","82세","총인구수[명]","명","40518",
"서울특별시","82세","남자인구수[명]","명","16953",
"서울특별시","82세","여자인구수[명]","명","23565",
"서울특별시","83세","총인구수[명]","명","35680",
"서울특별시","83세","남자인구수[명]","명","14463",
"서울특별시","83세","여자인구수[명]","명","21217",
"서울특별시","84세","총인구수[명]","명","30809",
"서울특별시","84세","남자인구수[명]","명","12146",
"서울특별시","84세","여자인구수[명]","명","18663",
"서울특별시","85세","총인구수[명]","명","26916",
"서울특별시","85세","남자인구수[명]","명","10006",
"서울특별시","85세","여자인구수[명]","명","16910",
"서울특별시","86세","총인구수[명]","명","23448",
"서울특별시","86세","남자인구수[명]","명","8470",
"서울특별시","86세","여자인구수[명]","명","14978",
"서울특별시","87세","총인구수[명]","명","19268",
"서울특별시","87세","남자인구수[명]","명","6555",
"서울특별시","87세","여자인구수[명]","명","12713",
"서울특별시","88세","총인구수[명]","명","15341",
"서울특별시","88세","남자인구수[명]","명","4990",
"서울특별시","88세","여자인구수[명]","명","10351",
"서울특별시","89세","총인구수[명]","명","12704",
"서울특별시","89세","남자인구수[명]","명","3923",
"서울특별시","89세","여자인구수[명]","명","8781",
"서울특별시","90세","총인구수[명]","명","9952",
"서울특별시","90세","남자인구수[명]","명","2840",
"서울특별시","90세","여자인구수[명]","명","7112",
"서울특별시","91세","총인구수[명]","명","8025",
"서울특별시","91세","남자인구수[명]","명","2124",
"서울특별시","91세","여자인구수[명]","명","5901",
"서울특별시","92세","총인구수[명]","명","6853",
"서울특별시","92세","남자인구수[명]","명","1811",
"서울특별시","92세","여자인구수[명]","명","5042",
"서울특별시","93세","총인구수[명]","명","5356",
"서울특별시","93세","남자인구수[명]","명","1325",
"서울특별시","93세","여자인구수[명]","명","4031",
"서울특별시","94세","총인구수[명]","명","4119",
"서울특별시","94세","남자인구수[명]","명","941",
"서울특별시","94세","여자인구수[명]","명","3178",
"서울특별시","95세","총인구수[명]","명","2851",
"서울특별시","95세","남자인구수[명]","명","624",
"서울특별시","95세","여자인구수[명]","명","2227",
"서울특별시","96세","총인구수[명]","명","1867",
